eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,crit2,crit3,doubtterr,alternative_txt,multiple,success,suicide,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
201605250061,2016,5,25,California,Modesto,37.664764,-120.994427,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Health Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Gasoline or Alcohol,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201605260052,2016,5,26,Washington,Vancouver,45.710821,-122.635039,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Liberty Bible Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201606050082,2016,6,5,New York,New York City,40.632326,-74.078752,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,St. Paul's Memorial Church,Episcopal Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201606090034,2016,6,9,New York,New York City,40.628247,-74.079766,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Unknown,First Central Baptist Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201606120001,2016,6,12,Florida,Orlando,28.519601,-81.376794,0,1,1,1,0,,0,1,0,Hostage Taking (Barricade Incident),Armed Assault,Business,Entertainment/Cultural/Stadium/Casino,Pulse Nightclub,Nightclub,United States,Private Citizens & Property,Judge/Attorney/Court,Not Applicable,Civilians,Multinational,,,,,,Jihadi-inspired extremists,,,1,1,0,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,50,44,1,53,48,0,1,Minor (likely < $1 million),1,-99,-99,3,0,6,Combination,-99,-9,-9,1,1,1
201606180037,2016,6,18,Nevada,Las Vegas,36.124745,-115.172081,0,1,1,1,0,,0,0,0,Assassination,,Private Citizens & Property,Political Party Member/Rally,Republican Party (GOP),Presidential Candidate: Donald Trump,United States,,,,,,,,,,,Anti-Trump extremists,,,1,1,1,1,Personal claim,Firearms,Handgun,,,,,0,0,0,0,0,0,0,,0,,,,,,,,-9,-9,0,-9,0
201607040048,2016,7,4,Missouri,St. Louis,38.656298,-90.413024,0,1,1,1,0,,0,0,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Temple Israel House,Former Synagogue,United States,,,,,,,,,,,Black Hebrew Israelites,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607050044,2016,7,5,Missouri,St. Louis,38.70333,-90.248796,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Greater St. Paul Missionary Baptist Church,Church,United States,,,,,,,,,,,Black Hebrew Israelites,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607070001,2016,7,7,Texas,Dallas,32.779578,-96.804259,0,1,1,1,0,,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Dallas Police Department,Officers,United States,,,,,,,,,,,Anti-White extremists,,,1,1,0,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,6,6,1,9,9,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
201607070016,2016,7,7,Tennessee,Bristol,36.58886,-82.185961,0,1,1,1,0,,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Tennessee State Police,Officers,United States,Private Citizens & Property,Judge/Attorney/Court,Not Applicable,Civilians,United States,,,,,,Anti-Police extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,1,1,0,4,4,1,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607070018,2016,7,7,Texas,College Station,30.62228,-96.347518,0,1,1,1,0,,0,1,0,Armed Assault,,Religious Figures/Institutions,Affiliated Institution,Unknown,Islamic Community Center,United States,,,,,,,,,,,Anti-Muslim extremists,,,0,1,0,0,,Firearms,Unknown Gun Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607090022,2016,7,9,Texas,San Antonio,29.422977,-98.498591,0,0,1,1,1,Other Crime Type,0,1,0,Armed Assault,,Police,"Police Building (headquarters, station, school)",San Antonio City Police,Police Station,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Firearms,Unknown Gun Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607170005,2016,7,17,Louisiana,Baton Rouge,30.433483,-91.080857,0,1,1,1,0,,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Baton Rouge City Police,Officers,United States,,,,,,,,,,,Anti-Police extremists,,,1,1,0,0,,Firearms,Handgun,Firearms,Rifle/Shotgun (non-automatic),,,4,4,1,3,3,0,0,,0,,,,,,,,-9,-9,0,-9,1
201607170022,2016,7,17,Florida,Daytona Beach,29.200533,-81.034508,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Police,Police Patrol (including vehicles and convoys),Daytona Beach Police Department (DBPD),Vehicle,United States,,,,,,,,,,,Anti-Police extremists,,,0,1,0,1,Note left at scene,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607180070,2016,7,17,Florida,Tampa,28.011485,-82.373941,0,1,1,1,1,Lack of Intentionality,0,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,Islamic Education Center,Education Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
